-,-,-
tr cermeit
traermeii
traere i
traeemeii
r cloeeii
a cloernSraeeme ittcererntraceotrnStaeemeii-at6 1 1
  824, 968
165, -70, 969
127, -89, 1029
127, -89, 1029
73, -154, 1016
60, -153, 972
59, -162, 956
75, -117, 932
44, -126, 1103
48, -138, 1024
48, -138, 1024
71, -125, 1031
70, -97, 1025
52, -81, 976
16, -70, 1012
28, -75, 1118
-,-,-
76, 1, 1063
76, 1, 1063
44, -86, 985
59, -76, 1002
55, -80, 1036
52, -95, 997
52, -95, 997
61, -80, 985
75, -65, 989
98, -56, 970
98, -56, 970
139, 3, 972
167, 19, 1007
181, 8, 1018
181, 8, 1018
177, 14, 1059
173, 4, 1013
157, -20, 993
163, -20, 963
163, -20, 963
211, 20, 933
252, 53, 932
272, 83, 942
327, 117, 972
327, 117, 972
412, 169, 940
472, 256, 963
486, 306, 1012
467, 335, 1022
391, 312, 1046
391, 312, 1046
255, 258, 1072
62, 214, 1186
-216, 113, 1332
-568, -88, 1496
-956, -392, 1520
-1219, -588, 1440
-1343, -653, 1404
-1360, -656, 1415
-1336, -626, 1405
-1249, -523, 1419
-1124, -361, 1416
-975, -159, 1391
-754, 114, 1376
-481, 353, 1451
-294, 493, 1421
-233, 518, 1329
-158, 514, 1245
-23, 545, 1226
91, 570, 1128
91, 570, 1128
210, 603, 1019
348, 647, 951
526, 747, 883
-,-,-
253, -175, 979
476, 22, 809
831, 307, 672
831, 307, 672
1077, 600, 657
1107, 783, 643
977, 819, 684
787, 812, 793
543, 866, 974
543, 866, 974
301, 790, 1131
83, 680, 1323
-90, 650, 1291
-268, 585, 1372
-473, 405, 1538
-594, 226, 1622
-628, 84, 1491
-628, 84, 1491
-711, 61, 1398
-883, 70, 1504
-1209, -147, 1536
-1502, -333, 1503
-1716, -358, 1421
-1893, -391, 1454
-1998, -514, 1473
-1998, -557, 1468
-1976, -424, 1451
-1812, -222, 1416
-1517, 160, 1495
-1037, 643, 1594
-388, 1065, 1575
205, 1370, 1309
543, 1440, 1133
719, 1268, 1104
848, 1061, 1173
905, 875, 1285
-,-,-
-287, 307, 1488
-402, 253, 1390
-594, 114, 1311
-594, 114, 1311
-899, -92, 1401
-1198, -327, 1413
-1352, -470, 1423
-1324, -471, 1409
-1202, -381, 1311
-730, -79, 1093
-730, -79, 1093
-433, 109, 932
-110, 266, 724
293, 552, 540
901, 910, 347
1336, 1041, 221
1557, 784, 411
1591, 483, 802
1591, 483, 802
1808, 568, 1075
1920, 791, 872
1867, 1042, 625
1596, 1185, 688
-,-,-
-1884, -367, 1853
-1945, -596, 1955
-1773, -632, 1771
-1387, -384, 1536
-960, -66, 1474
-504, 266, 1295
-60, 500, 1153
384, 737, 901
384, 737, 901
860, 1000, 800
1205, 983, 872
1271, 537, 985
1519, 479, 806
1708, 516, 447
1804, 507, 101
1804, 507, 101
1864, 553, 154
1839, 539, 427
1763, 534, 596
1656, 629, 651
1444, 703, 668
1180, 734, 816
901, 808, 1044
901, 808, 1044
588, 831, 1197
390, 924, 1427
119, 1050, 1715
-436, 919, 1850
-1159, 234, 1838
-1553, -179, 1532
-1633, -251, 1422
-1621, -127, 1821
-1811, -327, 1996
-1988, -710, 1998
-1996, -782, 1903
-1909, -680, 1703
-1699, -436, 1703
-1382, -101, 1776
-1049, 168, 1692
-713, 431, 1497
-265, 755, 1236
209, 1017, 980
508, 971, 1053
892, 1177, 1166
1381, 1195, 1330
1927, 1286, 1061
1997, 1752, 184
1997, 1997, -763
1997, 1997, -525
1997, 1997, -249
1935, 1917, -67
876, 1435, 517
876, 1435, 517
-184, 1063, 937
-747, 996, 1103
-1157, 994, 1439
-1792, 345, 1858
-1998, -382, 1998
-1998, -827, 1980
-1998, -772, 1690
-1998, -878, 1505
-1998, -1097, 1459
-1998, -1278, 1463
-1998, -1218, 1324
-1609, -366, 1322
-1110, 165, 935
